time, x, y, type, size
2015-01-01, 46.3517, -123.63, N, 1.5
2015-01-01, 46.33, -123.6614, W, 1.5
2015-01-01, 46.3147, -123.6522, SW, 1.5
2015-01-01, 33.57, -86.75, N, 0
2015-01-01, 29.21, -88.21, N, 0
2015-01-01, 29.25, -88.44, N, 0
2015-01-01, 29.3, -88.84, N, 0
2015-01-01, 29.25, -88.44, N, 0
2015-01-01, 29.21, -88.21, N, 0
2015-01-01, 29.25, -88.44, N, 0
2015-01-01, 30.21, -88.5, N, 0
2015-01-01, 20.7871, -156.0484, W, 3.17
2015-01-01, 20.9315, -156.3191, NNE, 0.12
2015-01-01, 38.5106, -87.2823, N, 0.74
2015-01-01, 38.5401, -87.2435, NE, 3.4
2015-01-01, 38.5355, -87.2253, NE, 3.84
2015-01-01, 38.5, -87.28, N, 0
2015-01-01, 38.5005, -87.5233, NNE, 1.46
2015-01-01, 38.4899, -87.5267, NNE, 0.71
2015-01-01, 38.4957, -87.5032, NE, 1.81
2015-01-01, 38.4928, -87.4845, WSW, 0.93
2015-01-01, 37.2153, -89.2593, W, 3.28
2015-01-01, 37.2158, -89.253, W, 2.93
2015-01-01, 37.1975, -89.2512, WSW, 3.22
2015-01-01, 37.1974, -89.2591, WSW, 3.61
2015-01-01, 38.35, -87.57, N, 0
2015-01-01, 37.3, -89.53, N, 0
2015-01-01, 36.9, -90.48, N, 0
2015-01-01, 36.75, -90.58, N, 0
2015-01-01, 36.57, -90.5, N, 0
2015-01-01, 36.6, -90.27, N, 0
2015-01-01, 36.78, -90.22, N, 0
2015-01-01, 36.08, -115.15, N, 0
2015-01-01, 34.1381, -116.0664, WNW, 1.09
2015-01-01, 34.1165, -116.4729, W, 1.33
2015-01-01, 36.08, -115.15, N, 0
2015-01-01, 19.8274, -155.9959, NE, 8.28
2015-01-01, 19.8297, -155.9936, S, 8.45
2015-01-01, 19.4205, -155.0171, NNW, 5.44
2015-01-01, 19.7103, -155.9454, NNE, 5.99
2015-01-01, 21.3113, -157.6895, SW, 0.86
2015-01-01, 21.5353, -158.1921, SSW, 3.18
2015-01-01, 20.7515, -156.0333, SW, 2.92
2015-01-01, 21.1567, -157.1979, NE, 2.33
2015-01-01, 22.1608, -159.3402, NW, 3.82
2015-01-01, 22.0019, -159.7522, W, 1.43
2015-01-01, 41.2235, -96.3565, SW, 4.88
2015-01-01, 41.2064, -96.3438, SSW, 5.57
2015-01-01, 41.2039, -96.3489, SSW, 5.84
2015-01-01, 41.2231, -96.3637, SW, 5.14
2015-01-01, 35.7, -118.45, N, 0
2015-01-01, 35.67, -118.06, E, 9.57
2015-01-01, 35.44, -118.8, NNE, 7.36
2015-01-01, 35.37, -119, ESE, 0
2015-01-01, 38.33, -75.03, N, 0
2015-01-01, 36.93, -76.01, NW, 0.88
2015-01-01, 36.97, -76.11, N, 0
2015-01-01, 36.98, -76.32, N, 0
2015-01-01, 37.25, -76.33, N, 0
2015-01-01, 37.57, -76.27, N, 0
2015-01-01, 37.25, -76.33, N, 0
2015-01-01, 36.97, -76.11, N, 0
2015-01-01, 29.6695, -84.8595, S, 5.6
2015-01-01, 29.6267, -84.943, SSE, 6.82
2015-01-01, 29.4, -84.86, N, 0
2015-01-01, 29.4, -84.86, N, 0
2015-01-01, 29.4, -84.86, N, 0
2015-01-01, 33.3373, -108.8561, SE, 1.19
2015-01-01, 25.71, -80.21, SW, 6.11
